urban_area,sum_tree_km2
Santa Cruz,10.2164000000015
SF Bay Area,383.460099999982
Vancouver,209.4199
Montreal,286.7192
St. John's,9.73610000000027
Rennes,17.5315000000024
Warwick,6.81470000000042
Oxford,14.9973999999992
Gent,18.4485999999977
Leuven,6.39350000000007
Groningen,11.7751
Bern,19.3676999999987
Torino,41.2299999999976
Trondheim,8.72780000000088
Aarhus,28.315900000001
Konstanz,6.14629999999854
Ljubljana,23.5463000000015
Brno,30.5766999999992
Torhout,0.422699999999837
Verbania,2.20970000000004
Bodø,1.12520000000008
Greifswald,3.6992999999996
