ID,abdomen_brightness,avg_leafdark,avg_leaflight,white,grey1,grey2,grey3,grey4,grey5,grey6,grey7,black
156462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156706,81.27010944,40.66666667,66,NA,NA,NA,NA,NA,NA,NA,NA,NA
156707,51.59033575,21,50.66666667,237,205,153.3333333,116.3333333,77.66666667,55,36.66666667,27,28
156709,91.82893657,71,103,NA,NA,NA,NA,NA,NA,NA,NA,NA
156712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156713,NA,11,36.66666667,168,132.3333333,97.33333333,71.33333333,49.66666667,33,22.33333333,16.33333333,16
156716,NA,76,140.6666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
156718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156720,NA,46.33333333,77.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
156748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157008,NA,31.33333333,64.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
157285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157308,NA,35.66666667,51.33333333,188.3333333,167,135.6666667,103.6666667,68.33333333,44,21,6.333333333,7
157317,142.7191214,112.3333333,155.3333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
157323,NA,38.66666667,43.33333333,212.6666667,192.3333333,161.3333333,124,84,56.66666667,34.33333333,20.33333333,25.33333333
157327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157342,54.45029737,23,62,156.6666667,132,103,68.33333333,45.33333333,26.66666667,10.66666667,3.666666667,2.333333333
157353,NA,30.66666667,47.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
157357,NA,15.66666667,68,218,196.6666667,164,132.3333333,93.66666667,67,38,22.33333333,16.66666667
157364,100.0911075,31.33333333,118.3333333,189.6666667,161.6666667,131.3333333,100.6666667,61,36,18.66666667,11,8
157365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157370,79.53523694,54.66666667,65,NA,NA,NA,NA,NA,NA,NA,NA,NA
157374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157390,NA,138.6666667,204,NA,NA,NA,NA,NA,NA,NA,NA,NA
157420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157426,148.3654378,161.3333333,156,NA,NA,NA,NA,NA,NA,NA,NA,NA
157428,NA,25.66666667,74.33333333,230.3333333,211.6666667,176,147.3333333,100,66,36.33333333,21.33333333,21.33333333
157430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157436,74.15570985,42,67.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
157441,44.36402511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157443,NA,65.33333333,123.6666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
157452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157455,NA,18,72.66666667,158.6666667,132.3333333,101,69,47.33333333,30.66666667,12,1.333333333,0.666666667
157457,NA,32,59.33333333,192.6666667,168.6666667,137.3333333,100.3333333,64.33333333,35.66666667,18,8,7.666666667
157461,NA,20,37,195.3333333,170.3333333,140.3333333,104.3333333,64,36,20.33333333,1.333333333,1.666666667
