wl;card1_cyansquare_black1;card1_cyansquare_black2;card1_cyansquare_black3;card1_cyansquare_grey1a;card1_cyansquare_grey1b;card1_cyansquare_grey1c;card1_cyansquare_grey2a;card1_cyansquare_grey2b;card1_cyansquare_grey2c;card1_cyansquare_grey3a;card1_cyansquare_grey3b;card1_cyansquare_grey3c;card1_cyansquare_grey4a;card1_cyansquare_grey4b;card1_cyansquare_grey4c;card1_cyansquare_grey5a;card1_cyansquare_grey5b;card1_cyansquare_grey5c;card1_cyansquare_grey6a;card1_cyansquare_grey6b;card1_cyansquare_grey6c;card1_cyansquare_grey7a;card1_cyansquare_grey7b;card1_cyansquare_grey7c;card1_cyansquare_white1;card1_cyansquare_white2;card1_cyansquare_white3
299,7638245;94,97206704;88,26815642;65,36312849;58,65921788;87,15083799;59,21787709;68,7150838;31,2849162;58,65921788;58,10055866;68,15642458;83,79888268;70,39106145;62,01117318;81,56424581;90,5027933;53,63128492;56,98324022;116,2011173;84,91620112;50,27932961;68,15642458;68,15642458;39,10614525;96,64804469;108,3798883;102,7932961
300,3615723;323,6363636;161,8181818;200;205,4545455;150,9090909;178,1818182;309,0909091;332,7272727;330,9090909;107,2727273;152,7272727;221,8181818;236,3636364;287,2727273;361,8181818;256,3636364;134,5454545;247,2727273;60;241,8181818;230,9090909;107,2727273;267,2727273;163,6363636;341,8181818;263,6363636;250,9090909
300,959259;69,74789916;72,26890756;-6,722689076;83,19327731;111,7647059;59,66386555;102,5210084;79,83193277;53,78151261;52,10084034;99,15966387;110,9243697;85,71428571;52,10084034;158,8235294;52,10084034;100;59,66386555;100;61,34453782;42,01680672;67,22689076;50,42016807;0,840336134;107,5630252;134,4537815;161,3445378
301,5569458;75,07886435;83,59621451;74,13249211;64,66876972;61,829653;96,84542587;83,2807571;78,86435331;72,87066246;71,29337539;60,88328076;81,38801262;88,64353312;82,01892744;56,46687697;66,87697161;71,60883281;68,45425868;68,45425868;78,23343849;96,21451104;83,59621451;85,48895899;54,88958991;56,78233438;105,0473186;68,45425868
302,1545715;69,11764706;60,78431373;110,2941176;59,80392157;52,45098039;75;126,9607843;81,37254902;61,2745098;76,47058824;76,47058824;75,49019608;83,33333333;123,5294118;81,8627451;95,09803922;97,05882353;89,21568627;65,19607843;123,5294118;79,90196078;74,50980392;82,84313725;135,7843137;112,254902;96,56862745;137,254902
302,7521973;51,53061224;91,32653061;39,28571429;2,551020408;67,34693878;138,2653061;70,40816327;90,81632653;90,30612245;38,7755102;59,69387755;110,7142857;83,16326531;14,28571429;29,08163265;42,34693878;120,4081633;105,6122449;38,7755102;39,79591837;59,69387755;49,48979592;38,26530612;22,95918367;81,12244898;20,91836735;52,04081633
303,349762;84,75336323;70,85201794;58,74439462;130,941704;104,4843049;81,16591928;109,8654709;71,30044843;141,2556054;79,37219731;60,98654709;97,30941704;70,40358744;62,33183857;39,9103139;106,7264574;47,98206278;72,64573991;45,73991031;39,46188341;116,1434978;92,82511211;83,85650224;73,0941704;89,68609865;55,60538117;101,793722
303,9472961;69,23076923;54,23076923;86,15384615;60,76923077;48,07692308;92,30769231;66,53846154;84,61538462;73,07692308;44,23076923;68,07692308;94,61538462;61,15384615;60,38461538;72,69230769;55,76923077;49,23076923;67,69230769;43,07692308;66,53846154;85,76923077;89,23076923;80,76923077;75,76923077;55,38461538;113,8461538;86,15384615
304,5448303;51,41242938;60,4519774;30,50847458;75,14124294;59,88700565;35,02824859;56,49717514;29,94350282;44,06779661;68,36158192;57,06214689;68,36158192;40,11299435;62,14689266;20,33898305;75,70621469;72,31638418;107,9096045;80,79096045;73,44632768;28,81355932;66,10169492;37,28813559;58,1920904;79,0960452;50,28248588;53,67231638
305,1423035;95,48611111;60,41666667;48,95833333;76,73611111;116,6666667;79,51388889;31,94444444;67,70833333;77,43055556;84,72222222;70,13888889;49,65277778;88,54166667;93,05555556;72,91666667;53,125;76,04166667;88,54166667;69,09722222;66,66666667;81,25;95,83333333;85,06944444;53,81944444;57,29166667;96,875;92,36111111
305,7397461;65,59139785;79,03225806;80,64516129;121,5053763;120,4301075;120,9677419;89,78494624;96,23655914;94,62365591;52,68817204;113,9784946;100;110,2150538;124,7311828;115,0537634;52,15053763;88,17204301;84,40860215;102,1505376;74,7311828;96,77419355;107,5268817;132,7956989;100;84,40860215;93,5483871;120,9677419
306,3371887;52,20883534;91,16465863;67,06827309;102,0080321;93,17269076;92,36947791;76,30522088;68,6746988;79,11646586;123,6947791;84,3373494;86,74698795;70,68273092;62,24899598;61,04417671;87,95180723;67,87148594;88,75502008;83,13253012;106,8273092;75,90361446;83,93574297;78,31325301;63,85542169;89,95983936;66,66666667;65,46184739
306,9345703;88,46153846;93,58974359;35,8974359;78,84615385;112,8205128;97,43589744;126,9230769;32,05128205;94,23076923;112,1794872;105,1282051;51,92307692;85,25641026;51,28205128;19,23076923;108,974359;30,76923077;70,51282051;73,07692308;12,82051282;101,9230769;19,23076923;60,8974359;71,79487179;198,7179487;112,8205128;80,76923077
307,5319214;50,58139535;154,0697674;125;129,0697674;151,744186;181,9767442;132,5581395;118,6046512;98,25581395;104,6511628;153,4883721;22,09302326;127,3255814;151,744186;104,6511628;77,3255814;94,18604651;90,11627907;87,79069767;29,65116279;150,5813953;91,86046512;108,7209302;127,3255814;117,4418605;134,8837209;133,1395349
308,1292419;30;-4,545454545;41,81818182;101,8181818;140;87,27272727;78,18181818;91,81818182;153,6363636;112,7272727;-6,363636364;51,81818182;59,09090909;149,0909091;19,09090909;5,454545455;42,72727273;35,45454545;28,18181818;20;82,72727273;87,27272727;3,636363636;102,7272727;103,6363636;102,7272727;95,45454545
308,726532;56,12903226;113,5483871;84,51612903;119,3548387;121,2903226;45,80645161;141,9354839;120;70,96774194;88,38709677;83,87096774;88,38709677;107,7419355;125,1612903;70,32258065;38,06451613;51,61290323;45,80645161;112,9032258;55,48387097;73,5483871;46,4516129;51,61290323;40,64516129;57,41935484;112,9032258;127,0967742
309,323822;93,65671642;68,28358209;77,98507463;102,6119403;64,92537313;83,20895522;52,6119403;85,44776119;59,70149254;82,08955224;53,35820896;58,20895522;71,64179104;35,44776119;76,86567164;54,85074627;63,43283582;63,43283582;66,04477612;60,82089552;94,02985075;41,04477612;51,11940299;58,58208955;97,01492537;49,62686567;77,98507463
309,921051;121,2264151;51,41509434;45,28301887;71,22641509;69,81132075;86,79245283;84,43396226;108,9622642;110,8490566;93,86792453;22,64150943;109,4339623;93,39622642;85,8490566;38,20754717;68,39622642;75,47169811;79,71698113;40,09433962;79,24528302;103,3018868;25;76,88679245;113,2075472;104,245283;63,20754717;108,0188679
310,5182495;38,34586466;96,61654135;44,36090226;68,79699248;57,51879699;74,06015038;48,12030075;40,60150376;53,0075188;66,16541353;44,36090226;75,56390977;40,60150376;50;54,88721805;67,29323308;46,9924812;56,39097744;51,12781955;72,18045113;69,92481203;70,30075188;30,82706767;66,16541353;57,51879699;84,96240602;105,6390977
311,1154175;61,51419558;82,01892744;45,74132492;93,37539432;71,60883281;120,5047319;76,65615142;100,6309148;89,27444795;60,56782334;52,05047319;64,66876972;82,33438486;62,46056782;78,5488959;88,64353312;78,86435331;70,66246057;76,97160883;74,13249211;89,58990536;69,40063091;88,95899054;80,44164038;82,96529968;55,83596215;73,50157729
311,7125549;60,43956044;182,4175824;117,5824176;162,6373626;224,1758242;62,63736264;160,4395604;174,7252747;183,5164835;149,4505495;141,7582418;180,2197802;154,9450549;141,7582418;129,6703297;231,8681319;138,4615385;181,3186813;234,0659341;73,62637363;67,03296703;94,50549451;191,2087912;170,3296703;182,4175824;242,8571429;182,4175824
312,3096619;47,57281553;45,63106796;94,66019417;45,63106796;111,1650485;84,46601942;67,47572816;77,18446602;61,16504854;53,39805825;100,9708738;69,90291262;67,96116505;60,19417476;97,57281553;35,9223301;99,51456311;56,7961165;87,86407767;107,7669903;77,66990291;86,89320388;70,38834951;38,34951456;63,10679612;111,1650485;54,85436893
312,9067383;124,4094488;148,8188976;101,5748031;127,9527559;137,7952756;122,8346457;129,5275591;128,7401575;72,04724409;132,6771654;123,6220472;133,0708661;109,8425197;143,7007874;99,21259843;90,5511811;103,1496063;132,2834646;151,9685039;115,7480315;166,5354331;133,0708661;86,22047244;135,4330709;115,7480315;152,3622047;160,6299213
313,5037842;134,0740741;45,92592593;79,25925926;60;134,8148148;88,88888889;34,07407407;45,92592593;26,66666667;19,25925926;42,22222222;81,48148148;35,55555556;57,77777778;70,37037037;129,6296296;44,44444444;95,55555556;108,1481481;50,37037037;58,51851852;64,44444444;25,92592593;51,85185185;17,77777778;71,85185185;62,22222222
314,1007996;119,8979592;86,73469388;98,97959184;89,79591837;135,2040816;87,24489796;86,2244898;104,5918367;142,3469388;101,0204082;121,4285714;75,51020408;101,0204082;119,8979592;138,7755102;88,7755102;67,85714286;73,46938776;92,85714286;56,63265306;138,7755102;59,18367347;66,83673469;104,5918367;150,5102041;50;126,5306122
314,6977844;86,86868687;138,8888889;130,3030303;103,030303;119,1919192;113,6363636;169,1919192;93,93939394;112,1212121;138,3838384;94,44444444;145,4545455;128,7878788;52,02020202;119,6969697;108,0808081;114,6464646;151,010101;119,6969697;101,010101;90,4040404;120,7070707;105,5555556;135,3535354;59,09090909;128,7878788;95,45454545
315,2947388;83,25123153;110,8374384;97,04433498;90,14778325;154,679803;136,453202;72,4137931;97,04433498;83,25123153;137,4384236;86,69950739;90,64039409;118,226601;111,3300493;115,270936;84,2364532;65,02463054;113,3004926;91,62561576;93,10344828;71,92118227;103,9408867;155,6650246;71,42857143;98,02955665;109,3596059;115,270936
315,8916321;22,13438735;58,89328063;71,54150198;37,94466403;102,3715415;10,27667984;41,10671937;42,29249012;69,96047431;52,96442688;50,19762846;74,70355731;58,89328063;29,24901186;76,6798419;54,15019763;49,40711462;65,61264822;55,7312253;57,31225296;34,38735178;66,79841897;58,1027668;71,93675889;53,35968379;63,63636364;113,0434783
316,4885254;44,25675676;63,85135135;65,54054054;57,77027027;46,28378378;51,35135135;65,2027027;48,98648649;60,13513514;38,85135135;60,47297297;68,58108108;70,94594595;32,09459459;55,40540541;81,75675676;25;30,06756757;76,01351351;100;27,02702703;43,24324324;81,75675676;30,06756757;95,94594595;79,39189189;72,97297297
