wl;card5_cyansquare_black1;card5_cyansquare_black2;card5_cyansquare_black3;card5_cyansquare_grey1a;card5_cyansquare_grey1b;card5_cyansquare_grey1c;card5_cyansquare_grey2a;card5_cyansquare_grey2b;card5_cyansquare_grey2c;card5_cyansquare_grey3a;card5_cyansquare_grey3b;card5_cyansquare_grey3c;card5_cyansquare_grey4a;card5_cyansquare_grey4b;card5_cyansquare_grey4c;card5_cyansquare_grey5a;card5_cyansquare_grey5b;card5_cyansquare_grey5c;card5_cyansquare_grey6a;card5_cyansquare_grey6b;card5_cyansquare_grey6c;card5_cyansquare_grey7a;card5_cyansquare_grey7b;card5_cyansquare_grey7c;card5_cyansquare_white1;card5_cyansquare_white2;card5_cyansquare_white3
299,764;109,929078;74,46808511;125,5319149;85,10638298;112,7659574;168,7943262;122,6950355;109,2198582;51,06382979;50,35460993;83,68794326;117,0212766;73,04964539;197,8723404;58,86524823;48,93617021;30,4964539;123,4042553;90,78014184;109,929078;40,42553191;14,18439716;59,57446809;97,16312057;143,9716312;132,6241135;137,5886525
300,362;296,4285714;21,42857143;233,9285714;416,0714286;246,4285714;294,6428571;273,2142857;251,7857143;5,357142857;166,0714286;126,7857143;214,2857143;130,3571429;-7,142857143;-8,928571429;167,8571429;398,2142857;239,2857143;278,5714286;82,14285714;-35,71428571;76,78571429;132,1428571;162,5;251,7857143;237,5;332,1428571
300,959;67,6056338;98,5915493;75,35211268;105,6338028;83,8028169;60,56338028;61,26760563;24,64788732;61,97183099;51,4084507;28,16901408;31,69014085;96,47887324;89,43661972;10,56338028;40,14084507;34,50704225;90,14084507;113,3802817;24,64788732;31,69014085;38,73239437;18,30985915;66,1971831;76,05633803;83,09859155;41,54929577
301,557;81,99233716;83,52490421;64,36781609;75,86206897;75,4789272;103,4482759;116,091954;70,88122605;79,31034483;112,6436782;47,50957854;60,53639847;125,2873563;107,2796935;54,40613027;89,65517241;96,55172414;79,31034483;90,8045977;88,50574713;88,50574713;96,9348659;59,00383142;89,27203065;119,9233716;142,9118774;71,64750958
302,155;23,828125;59,375;96,484375;76,953125;29,6875;52,734375;47,265625;124,21875;62,5;99,21875;62,109375;79,296875;57,421875;71,09375;95,3125;64,84375;41,796875;32,8125;48,828125;34,375;55,46875;31,640625;42,1875;50,78125;34,375;82,421875;97,265625
302,752;69,65174129;57,21393035;90,04975124;72,63681592;86,56716418;126,8656716;66,16915423;74,12935323;65,67164179;72,63681592;34,32835821;45,27363184;42,78606965;39,80099502;83,58208955;101,9900498;49,75124378;60,19900498;55,72139303;37,81094527;56,21890547;42,78606965;72,63681592;57,21393035;68,65671642;71,64179104;121,8905473
303,350;80,09259259;57,40740741;47,68518519;59,25925926;78,24074074;70,37037037;46,2962963;78,7037037;90,27777778;84,25925926;67,12962963;81,48148148;58,33333333;52,77777778;59,72222222;48,61111111;133,7962963;113,4259259;126,8518519;54,16666667;36,11111111;73,61111111;93,98148148;57,87037037;105,5555556;123,1481481;67,12962963
303,947;120,2797203;145,4545455;81,11888112;66,43356643;169,2307692;100;156,6433566;125,8741259;166,4335664;125,1748252;47,55244755;140,5594406;133,5664336;96,5034965;120,2797203;97,2027972;104,1958042;99,3006993;169,9300699;89,51048951;52,44755245;135,6643357;174,1258741;86,01398601;120,2797203;139,1608392;200
304,545;126,2626263;57,57575758;44,44444444;148,4848485;150,5050505;134,3434343;64,64646465;166,6666667;72,72727273;178,7878788;80,80808081;174,7474747;82,82828283;157,5757576;148,4848485;89,8989899;195,959596;78,78787879;95,95959596;16,16161616;40,4040404;89,8989899;73,73737374;-19,19191919;61,61616162;37,37373737;92,92929293
305,142;63,00813008;84,55284553;85,36585366;75,20325203;59,3495935;61,78861789;84,14634146;80,08130081;47,96747967;44,30894309;62,60162602;83,7398374;64,22764228;71,95121951;87,80487805;80,89430894;57,72357724;39,02439024;50;86,17886179;80,89430894;39,43089431;108,1300813;93,90243902;86,17886179;92,68292683;84,95934959
305,740;94,11764706;39,70588235;77,45098039;66,17647059;101,4705882;86,76470588;72,54901961;68,62745098;89,21568627;47,54901961;21,56862745;118,1372549;60,29411765;113,7254902;82,35294118;98,03921569;39,21568627;45,09803922;111,7647059;50;71,56862745;85,78431373;36,76470588;62,25490196;85,78431373;64,70588235;76,47058824
306,337;44,53125;35,9375;26,171875;47,65625;91,40625;88,28125;72,65625;63,671875;67,578125;78,515625;83,59375;80,46875;84,765625;84,765625;85,9375;82,03125;50,78125;46,875;82,421875;70,3125;66,015625;35,546875;89,453125;82,03125;88,28125;87,890625;111,71875
306,935;32,34042553;42,55319149;56,17021277;55,74468085;90,63829787;57,44680851;71,4893617;61,27659574;73,61702128;22,55319149;68,93617021;34,89361702;51,4893617;35,31914894;51,06382979;60,85106383;71,4893617;56,59574468;96,59574468;33,19148936;97,44680851;37,87234043;25,53191489;24,25531915;68,08510638;86,38297872;92,34042553
307,532;105,5837563;78,17258883;60,91370558;150,7614213;115,7360406;108,6294416;105,5837563;97,46192893;78,17258883;58,88324873;85,27918782;115,7360406;48,22335025;128,9340102;102,0304569;105,5837563;108,1218274;133,5025381;82,74111675;77,15736041;97,46192893;126,9035533;123,857868;87,30964467;84,26395939;116,751269;94,41624365
308,129;22,51308901;26,17801047;-30,89005236;50,2617801;49,7382199;73,29842932;68,58638743;72,2513089;30,89005236;51,30890052;2,617801047;48,69109948;63,35078534;13,61256545;25,13089005;48,69109948;7,853403141;50,2617801;56,02094241;49,21465969;47,64397906;36,64921466;24,60732984;41,36125654;98,42931937;38,7434555;96,33507853
