wl;card3_cyansquare_black1;card3_cyansquare_black2;card3_cyansquare_black3;card3_cyansquare_grey1a;card3_cyansquare_grey1b;card3_cyansquare_grey1c;card3_cyansquare_grey2a;card3_cyansquare_grey2b;card3_cyansquare_grey2c;card3_cyansquare_grey3a;card3_cyansquare_grey3b;card3_cyansquare_grey3c;card3_cyansquare_grey4a;card3_cyansquare_grey4b;card3_cyansquare_grey4c;card3_cyansquare_grey5a;card3_cyansquare_grey5b;card3_cyansquare_grey5c;card3_cyansquare_grey6a;card3_cyansquare_grey6b;card3_cyansquare_grey6c;card3_cyansquare_grey7a;card3_cyansquare_grey7b;card3_cyansquare_grey7c;card3_cyansquare_white1;card3_cyansquare_white2;card3_cyansquare_white3
299,7638245;48,52071006;82,84023669;101,183432;71,59763314;102,9585799;159,1715976;110,0591716;102,3668639;77,5147929;114,7928994;57,3964497;88,75739645;100;70,41420118;115,9763314;91,71597633;84,61538462;95,26627219;95,26627219;20,71005917;79,8816568;104,7337278;0,591715976;49,70414201;116,5680473;94,67455621;86,39053254
300,3615723;53,33333333;65,71428571;38,57142857;43,33333333;81,42857143;104,2857143;60,95238095;21,42857143;83,33333333;55,23809524;37,61904762;71,9047619;83,33333333;28,0952381;48,57142857;46,19047619;45,23809524;60,95238095;41,42857143;84,28571429;44,28571429;80,47619048;60;10,95238095;77,14285714;71,9047619;90,95238095
300,959259;60,12269939;80,98159509;46,62576687;107,3619632;112,8834356;126,993865;76,07361963;65,64417178;13,49693252;51,53374233;97,54601227;65,64417178;73,00613497;7,36196319;104,2944785;77,3006135;18,40490798;96,3190184;44,17177914;28,2208589;-9,81595092;33,74233129;84,66257669;43,55828221;57,05521472;90,79754601;69,93865031
301,5569458;61,29032258;63,22580645;50;45,80645161;74,19354839;96,4516129;91,61290323;72,58064516;65,48387097;69,03225806;72,90322581;71,61290323;70,32258065;85,80645161;97,09677419;72,58064516;60;76,77419355;86,77419355;63,5483871;68,38709677;61,61290323;68,38709677;71,93548387;75,80645161;88,38709677;101,6129032
302,1545715;196,1538462;136,9230769;109,2307692;206,1538462;200,7692308;130,7692308;66,15384615;202,3076923;116,9230769;186,1538462;110,7692308;96,92307692;109,2307692;106,9230769;136,1538462;183,0769231;156,1538462;91,53846154;110;99,23076923;-0,769230769;64,61538462;133,0769231;120;166,1538462;200;222,3076923
302,7521973;63,1840796;49,75124378;80,59701493;72,13930348;30,34825871;58,20895522;87,06467662;4,47761194;46,76616915;117,9104478;97,01492537;66,16915423;58,20895522;66,66666667;52,73631841;62,68656716;58,70646766;71,14427861;52,23880597;57,71144279;92,53731343;39,30348259;73,13432836;88,55721393;31,34328358;103,4825871;96,0199005
303,349762;134,7150259;113,4715026;105,6994819;122,7979275;121,761658;95,85492228;97,40932642;131,6062176;140,4145078;91,19170984;127,9792746;89,6373057;70,98445596;47,15025907;93,78238342;130,5699482;68,9119171;97,40932642;70,98445596;70,46632124;121,2435233;50,77720207;103,1088083;116,5803109;89,6373057;121,761658;142,4870466
303,9472961;126,1904762;95,23809524;63,80952381;72,38095238;60;100;107,6190476;71,42857143;111,9047619;108,5714286;107,6190476;129,5238095;62,85714286;91,42857143;89,04761905;47,14285714;64,28571429;56,66666667;87,61904762;86,19047619;83,80952381;41,9047619;79,52380952;118,0952381;118,5714286;99,04761905;94,76190476
304,5448303;74,25742574;69,30693069;128,7128713;78,21782178;145,5445545;118,8118812;99,00990099;62,37623762;128,7128713;117,8217822;96,03960396;-0,99009901;82,17821782;52,47524752;60,3960396;14,85148515;76,23762376;143,5643564;129,7029703;82,17821782;-5,940594059;75,24752475;100,990099;100,990099;91,08910891;115,8415842;164,3564356
305,1423035;94,11764706;50,58823529;85,88235294;56,47058824;43,52941176;85,09803922;89,80392157;127,0588235;94,90196078;84,31372549;94,11764706;78,03921569;66,2745098;93,33333333;53,7254902;46,66666667;42,35294118;56,47058824;85,49019608;100;69,80392157;62,74509804;75,68627451;90,19607843;98,82352941;104,3137255;93,7254902
