wl;card4_cyansquare_black1;card4_cyansquare_black2;card4_cyansquare_black3;card4_cyansquare_grey1a;card4_cyansquare_grey1b;card4_cyansquare_grey1c;card4_cyansquare_grey2a;card4_cyansquare_grey2b;card4_cyansquare_grey2c;card4_cyansquare_grey3a;card4_cyansquare_grey3b;card4_cyansquare_grey3c;card4_cyansquare_grey4a;card4_cyansquare_grey4b;card4_cyansquare_grey4c;card4_cyansquare_grey5a;card4_cyansquare_grey5b;card4_cyansquare_grey5c;card4_cyansquare_grey6a;card4_cyansquare_grey6b;card4_cyansquare_grey6c;card4_cyansquare_grey7a;card4_cyansquare_grey7b;card4_cyansquare_grey7c;card4_cyansquare_white1;card4_cyansquare_white2;card4_cyansquare_white3
299,7638245;65,2173913;111,8012422;64,59627329;114,2857143;129,1925466;70,1863354;80,1242236;74,53416149;24,22360248;26,08695652;100,621118;106,2111801;18,63354037;47,82608696;61,49068323;95,65217391;73,29192547;103,1055901;59,62732919;58,38509317;147,2049689;68,32298137;87,57763975;95,65217391;101,863354;108,6956522;129,1925466
300,3615723;129,6;69,6;38,4;149,6;87,2;78,4;135,2;124,8;68;105,6;80,8;174,4;136;101,6;-26,4;58,4;72;177,6;76,8;57,6;57,6;96,8;8;128,8;96,8;127,2;68
300,959259;15,45454545;41,36363636;48,18181818;50;70;37,27272727;64,09090909;102,7272727;35;29,54545455;50,45454545;55;3,636363636;57,72727273;35,45454545;20,90909091;43,18181818;2,727272727;77,72727273;22,27272727;30;23,18181818;60,90909091;19,54545455;50,90909091;44,09090909;22,72727273
301,5569458;101,754386;94,29824561;89,9122807;81,14035088;96,05263158;115,7894737;98,24561404;87,28070175;103,5087719;99,12280702;110,9649123;141,2280702;99,12280702;89,9122807;87,71929825;64,47368421;71,05263158;95,1754386;110,5263158;102,6315789;101,754386;94,29824561;77,19298246;58,77192982;116,2280702;107,0175439;100,877193
302,1545715;52,79187817;81,72588832;84,26395939;91,37055838;102,0304569;112,6903553;78,17258883;95,93908629;115,2284264;122,3350254;115,2284264;115,2284264;94,41624365;71,57360406;51,26903553;85,27918782;83,75634518;64,46700508;115,2284264;45,17766497;39,59390863;87,81725888;31,47208122;139,0862944;113,7055838;114,213198;80,20304569
302,7521973;40,23904382;47,01195219;66,13545817;32,66932271;48,60557769;97,60956175;27,49003984;81,2749004;55,77689243;47,41035857;42,62948207;17,52988048;39,44223108;26,69322709;30,27888446;37,84860558;33,86454183;29,88047809;65,33864542;63,34661355;39,44223108;68,12749004;52,98804781;52,98804781;58,16733068;74,90039841;62,94820717
303,349762;55,72916667;82,8125;94,79166667;55,72916667;122,9166667;94,27083333;130,2083333;90,625;155,2083333;113,5416667;88,54166667;118,2291667;114,0625;92,1875;118,2291667;86,45833333;146,3541667;45,3125;117,7083333;88,54166667;86,45833333;126,0416667;59,89583333;81,25;93,75;77,60416667;119,7916667
303,9472961;50,37878788;70,45454545;59,46969697;73,86363636;56,43939394;45,07575758;65,53030303;48,86363636;68,56060606;57,95454545;72,72727273;69,31818182;38,63636364;50,75757576;68,56060606;59,46969697;51,51515152;73,10606061;27,27272727;74,62121212;27,65151515;50;77,65151515;43,18181818;96,96969697;48,10606061;81,43939394
304,5448303;236,8421053;121,0526316;139,4736842;244,7368421;389,4736842;368,4210526;468,4210526;352,6315789;331,5789474;297,3684211;207,8947368;218,4210526;197,3684211;260,5263158;231,5789474;252,6315789;102,6315789;155,2631579;215,7894737;218,4210526;257,8947368;142,1052632;73,68421053;150;239,4736842;463,1578947;407,8947368
305,1423035;61,98830409;94,15204678;105,8479532;111,1111111;132,748538;144,4444444;102,3391813;89,47368421;161,4035088;104,6783626;156,7251462;60,81871345;128,0701754;119,8830409;78,94736842;139,1812865;116,374269;107,6023392;160,2339181;122,2222222;132,748538;75,43859649;135,0877193;137,4269006;147,3684211;119,8830409;77,77777778
